Date,Tweet,Username,Location,Profile Bio,Likes,Retweets
2022-10-14,"Prices are still rising much faster than rates on savings instruments, meaning negative returns once inflation is factored in
 https://t.co/PQ4E6jKFEv",GrahamWhitwell,"Sidney, British Columbia","Wealth Advisor and National Bank Financial

I help Canadian families achieve their financial goals with peace of mind.",0,0
2022-10-14,"@rising_serpent Why is a foreign nation cutting oil production just before elections to jack up prices at the pump not meddling in our elections? If it is not #Russia, it is #SaudiArabia. Apparently #GOP is not convinced they cannot win elections in the US 🇺🇸 with outside help",Memfis,Worldwide,"Saved by Grace, redeemed with blood, ""undieable"". Against violence in all its forms. Will do everything it takes to keep peace at home and abroad. Now follow TL",0,0
2022-10-14,@JoshShapiroPA Say something about the EVER RISING GAS PRICES.,beach4menj,,American sports lover,18,1
2022-10-14,@POTUS Prices are already rising in anticipation of your efforts.,BeulahForbes7,,"I am a retired adventurist, be it work or play!",1,0
2022-10-14,"With rising food prices in the Inland Empire, here are resources to help those in need – Daily Bulletin https://t.co/zpJR4UTkSO",Brghtlf,United state,Bright life,0,0
2022-10-14,Rising prices lead to growing civil unrest in Haiti: UN https://t.co/It0PjYUbVx,Ajitweekly1,,Ajitweekly Newspaper,0,0
2022-10-14,"No Ronna. 
This is Republifation.
R's have blocked or voted against EVERY SINGLE piece of legislation presented to try and curb rising gouge prices!!! 
EVERY SINGLE ONE!!!
AND...wait for it...offered NOT ONE SINGLE idea that might help a single American.
WTF, ASSHOLES!!! https://t.co/CrOPE1fvS0",krixter59,Northern California,dEMOCRAT FOR DEMOCRACY!!!         POTTY MOUTH 🤬,0,1
2022-10-14,"🇺🇸 -51.84bps, the bond market stubbornly believes falsely that either the Fed or a recession will fight inflation (rising prices) to 2%. https://t.co/0XaNhCOoSd",joosteninvestor,,Chart heavy Economics. Anything that jumps out at me. I could be wrong but I keep myself humble to learn.,1,0
2022-10-14,"Prices for These 20 Items Are Rising Faster Than Overall Inflation

https://t.co/KwXSTVkAYp

#SFR #Money @money #CPI #RisingPrices https://t.co/mQm9k1aBb5",SFLReporter,"Florida, USA","Our mission is inform, enlighten, entertain, enrich, empower, inspire, and engage the South Florida community.",0,0
2022-10-14,"@JamesBradleyCA Never will Economics 101 You cannot spend to stop rising prices aka Inflation...only the stupid would believe or do this. Price controls, and other things applied gently  can help stem inflation, not run away spending, and especially with printed/borrowed money!",fivemews,HOME OF THE FREE,,0,0
2022-10-14,"@JoeBiden The choice is clear. Democrats have been in control for 2 years and we have got record high inflation, record high border illegal crossings, high gas prices, nuclear threats from Russia, rising crime, record high fentanyl entering U.S. the choice is clear, #VoteDemsOut #RedWave",politicgonewrng,,Follow for political takes #RedWave2022,0,0
2022-10-14,@SoneX @GOPChairwoman It's almost as if big businesses &amp; industries are dealing with record profits while we're dealing with rising prices. 🤔,willkennedynews,"Pensacola, FL","Professor. Journalist. Voice of the UWF Argos 💙💚
Politics, education & sports takes.
Opinions my own. RT not endorsement.",2,1
2022-10-14,Shell: rising prices are already crimping demand,BetsyCarey20,,"【急单】Telegram电报：👉t.me/fuwu8👈
注意💖【新客户首单体验价5元】
资源均有本人或朋友亲自验证，保证人照不低于9成
如果没有Telegram 下面第一条有教程",0,0
2022-10-14,"Walker what will you do to stem the rising costs of college? -
Stop federal funds for colleges that raise their prices.

Thanks Herschel Walker!
Let's apply that same tactic to k-12 schools.
Citizens stop paying your school taxes when schools raise your obligations.",unsung_son,within my mind,VET - B.S. Psychology in Applied Behavior Analysis - Truth Teller - Ward of the Court 2 to 18 - dx Bipolar I - GAY 23 years w/same - I apologize in advance 🤨🙄,0,0
2022-10-14,"MCDANIEL: Democrats Destroyed The Economy, And Now It’s Their Worst Enemy
Ronna McDaniel

The United States economy is in a recession. Americans are feeling the pinch of rising prices in everything from the gas in their car to the food on their plates.

https://t.co/yeArLRKdu9",CitizensJourn,"Ventura County, CA","Citizens Journal, a  Ventura County online news publication  dedicated to reporting news and commentary vital to the community,",0,0
2022-10-14,"Inflation is the highest it's been since Reagan was in office. Prices are rising for housing, medical care, new cars, air travel &amp; more. It will almost surely mean another significant interest rate hike. Economist @DianeSwonk visited @NewsHour to discuss. https://t.co/vBg98AOzYv",PBSSoCal,"Los Angeles, CA",Your home for PBS in Southern California,0,0
2022-10-14,"@JoeBiden Gas prices up 
Inflation up
The border not secure
Crime up
Prospects of WW3 rising 

All on YOUR watch.",Jlm9022,unknown,"Wrestling fan. Nerd. Batmans sidekick. #TeamDDPYoga. History buff.

#socialismsucks #biggovermentsucks 

Individual freedom is awesome.",0,0
2022-10-14,@auntbetty61 @greg16676935420 @POTUS That bill passed and did nothing to stop gas prices from rising lol,wizard_mint,,"Youtube Creator, Doritos enthusiast, ze/zi/zo/zum",1,0
2022-10-14,"@POTUS -why policies are you touting about these rising fuel prices?  You claimed you had great policies when they dropped a few weeks ago, where are those policies now that prices are rising again?",partnersinswine,"Zebulon, NC","Red blooded American patriots go loves cold beer, chilled whiskey and meat off the grill. I love God, The USA and my family.",0,0
2022-10-14,why are gas prices rising again 😑,sosabvby,blessed,Edo girly 🇳🇬 • Psalms 13:6 • Jesus is my everythinggg,0,0
2022-10-14,@Public_Citizen Yes completely ignore the skyrocketing gas prices (farms need fuel and produce needs delivered) and rising fertilizer prices,RabbitEthereal,,,0,0
2022-10-14,"MarketWatch: Flat retail sales are just the beginning. Consumers are increasingly worried about rising prices, a looming recession, and uncertainty about what’s next. https://t.co/41pHAhEwtC",CashFlowJVH,,Part time trader providing information about trading stocks and options as well as personal financial money management strategies. Not a financial advisor,0,0
2022-10-14,The Consumer Price Index has shown low inflation since '09. Are your prices rising faster? #CostOfLiving https://t.co/DEOXvIyRYO,JohnChFC,"Scottsdale, Arizona",,0,0
2022-10-14,"Walker just won the debate, he turned Warnock telling him off for not supporting the Inflation reduction act bc of the insulin caps to inflation and rising food prices",LTP209,Georgia ,"PaleoConservative, Trump 2024, Catholic, Ye N.1 Soilder , Nationalist, Alt @BackupLTP , MTG Fan, on TruthSocial same @, Effective Government not small nor big,",3,0
2022-10-14,"@murpharoo Rising energy prices…to combat we will install solar panels. That’s the only way to reduce an energy bill. Thank goodness for renewable energy. We aren’t waiting for Dutton’s modular nuclear reactor!

#auspol #climatechange",lorrainebomber,"Melbourne, Australia",Proud member Essendon Football Club ❤️🖤 Love gardening 🪴 and coffee ☕️,10,0
2022-10-14,"@SpeakerPelosi @HouseDemocrats Distraction from crashing stock market, higher inflation, higher interest rates, rising gas prices, supply shortages  &amp; threats of nuclear war. Seems
killing unborn babies &amp; lets get Trump is ALL YOU GOT. 🤔",Cynn41671291,,"Caregiver to a veteran Father, ❤ animal rescuer, to 13 pets. Mother  housewife, & patriotuc American. I will block u if you DM right away!!",0,0
2022-10-14,"Flat retail sales are just the beginning. Consumers are increasingly worried about rising prices, a looming recession, and uncertainty about what’s next. https://t.co/WdyAlqEa9x",MarketWatch,"New York, NY","News, personal finance & commentary from MarketWatch.

For customer support, visit customercenter.marketwatch.com",14,10
2022-10-14,"@GameofTrades_ Demand is still hot and prices are rising fast though. Rates are helping, QT will help more. I think we're close but if we stop here inflation will burn back over 9%.",BankGrader,"Hawaii, USA","Retired-ish @ 30-ish

Self-funded founder x3. FinTech play @ ~12m ARR (exit tbd 22')

RE investor (sold most STR's in 21')

Girl dad, dog dad & a happy husband.",2,0
2022-10-14,@DreDay78442321 @Mccauley5Bobby @x_libertyx @thebradfordfile I look at how things are trending. Averaging an 8-year period makes no sense. Prices were decreasing every year since 2012.  Then Trump took over in 2017 and prices immediately started rising. He inherited low prices and made them higher.,IJustAte3,,"Ohio
ICU RN",0,0
2022-10-14,"https://t.co/b2vuswEliN

Most #Asian #centralbanks must tighten #monetarypolicy further as rising commodity #prices and their #currencies' #depreciation, driven by steady #US #interestrate hikes, push #inflation above their targets, the #InternationalMonetaryFund said. #IMF",PFComCon,"Honolulu, Hawaii","Timely, concise, and comprehensive source of information and analysis on Indo-Pacific bilateral relations, published by @pacificforum",0,0
2022-10-14,"What’s the scariest type of inflation? The sticky type. That’s what economists say about rising prices for services, housing and medical care. Why? They’re hard to bring down. Learn more. 👉https://t.co/CDYZ7cXQXZ
#economics #spending #retail https://t.co/7cdkPaDVFn",BankoftheWest,,Where you put your money matters 🌎 © 2022 Bank of the West. Member FDIC. Equal Housing Lender gowe.st/guidelines bankofthewest.com/privacypolicy,1,0
2022-10-14,@POTUS Gas prices are rising just like everything else in our country. Yet you feel the need to give money to other countries. You must really hate our country.,gauche306,,"Former teacher of 28 yrs, disappointed with the state of education today! 🇺🇸 Equally disappointed how Biden is destroying the U.S.",0,0
2022-10-14,"ICYMI — I joined @SeanHannity this week to discuss the issues affecting Washingtonians every day.

A year ago, people were concerned about the rising cost of living, higher gas prices, surging crime &amp; overdoses of fentanyl.

It’s even worse today, and voters are ready for change! https://t.co/1VLeELC7rc",SmileyForWA,,Wife to @HopeUnseen. Mom to three boys. Veterans Advocate. Former Triage Nurse. Candidate for U.S. Senate.,354,100
2022-10-14,"@HouseGOP Inflation is global and we’re fairing much better than a lot of other countries. What’s true is that unemployment is at a 50 yr low, job number are high, manufacturing jobs are back, and the GOP has voted against every bill to combat rising prices in the US. You can’t lead!!!",mattys2442,United States,"owner/operator of Walking Paws, musician, husband and father",2,0
2022-10-14,"@AaronParnas So your definition of success is gas prices rising by 265%, illegals flooding our country, escalating inflation, our diminished stature on the world stage, a president that seemingly has worsening dementia... The list goes on &amp; on &amp; on... I can hardly wait for the more to come...",AmericanByGod,I'm Your Neighbor,"Hopeful we'll become a nation united, where we don't hate others because of their differences & elected officials serve the peoples' interests. No DMs, Crypto..",3,0
2022-10-14,"@heydave7 @jasondebolt I try to think of share price like the rising and falling of tides. I was explaining to my kids the other day that house prices rise and fall like share prices, but nobody really freaks out when the housing market crashes unless they're selling up and cashing in.",STAYL0WM0VEFAST,,Signals not noise,3,0
2022-10-14,3. Friday that the proposed merger could lead to higher prices as Americans already are dealing with rising inflation. https://t.co/gv7ugJzwlw,marcelladba,The Universe,"Opinions are my own and I have lots of them.                 I am a Wife, Mother, Sister, Writer, and Attorney.",0,0
2022-10-14,"@POTUS But with a 40 year high inflation rate, rising gas prices, rising energy rates and interest that has gone up again today that doesn't mean anything. Not to mention a horrible foreign policy. No Joe, quit lying",MG1126G,"Lodi, California","God's Love,Grace & nice Harley ride, Psalm27  ✝️ConservativeConstitutionist pro life & 2A exPoliceChaplain/Grateful for every day.Love this country🇺🇸NoDM⬅️",1,0
2022-10-14,From @TheHill: On The Money — Five reasons why inflation is stubbornly high  : We break down why prices are still rising amid the Federal Reserve’s battle to slow inflation. We’ll also look at retail sales… https://t.co/m79wAt7rN2  https://t.co/RJlKlxhbhS #Congress #Tax #Finance https://t.co/Cr5zyA13qr,CPA_Trendlines,"New York, USA","Live links to breaking news for tax, accounting and finance professionals. Upgrade to premium and start profiting today GoProCPA.com",1,0
2022-10-14,"The average American family has now lost $6,000 in annual wages under Biden due to inflation, according to economist &amp; @Heritage Foundation research fellow E.J. Antoni. ""Americans are 'absolutely being crushed' by rising consumer prices."" MORE: https://t.co/XMgi2GWVlX https://t.co/c8mMNzPcX7",NewsTalk780KOH,"Reno, NV","Northern Nevada's #1 source of news-talk-traffic-weather on 780 AM, the KOH app & kkoh.com. 775-852-TALK/800-564-KKOH; DanMason@KKOH.com
A Cumulus Media Station",1,1
2022-10-14,"@katiehobbs A vote for @Katiehobbs gets you
Coward  who runs ✅
Out of control inflation ✅                 Rising gas prices✅                         Rising crime rates✅
Dangerous Open borders✅",Newcaz2014,"Phoenix, AZ",No more carrier Politicians - No more Government waste - Family is everything. LFGTBBucs🏴‍☠️AZNative GenX,0,0
2022-10-14,@GRDecter New building prices keep rising too,jhurtford,the farm,"Permaculture, bitcoin",0,0
2022-10-14,"Majorities of Independent, Asian and Hispanic Voters Say Rising Gas Prices Would Make Them More Likely to Vote GOP https://t.co/o3Utlkfk8c",Hummimgbirdfly1,Best country in the world! USA,"a little OCD,extremely patriotic,love God,Country & family,American by birth,southern by the grace of god!Oh what a tangled web we weave!",0,0
2022-10-14,@Al_Fangor It's to help with rising costs and high gas prices. You can read more here: https://t.co/IdxzHTvHsQ,CalMatters,"California, USA","Nonprofit and nonpartisan California news. Open jobs: senior investigative reporter, assistant news editor, newsroom coordinator, investigative editor.",2,1
2022-10-14,"So out of touch with reality, so greedy grocery CEOs were the ones responsible for rising food prices? 

Even my 4-year-old daughter has a better grasp of supply and demand economics then this goofball. https://t.co/pCoBkS5Od3",digimat,Calgary,"15 years of designing Brands and Experience | Founder & Designer @figment_agency | Blockchain & DEFI Enthusiast | Thoughts on UX, Product, and Growth Marketing.",1,0
2022-10-14,"@BrainRage @catturd2 @AOC Ge was awesome huh! I mean cheap gas, no inflation,  no rising food prices.  Took us out of the G7. Wow. What an amazing time it was. Not my 401k and my husband's have tanked. Gas is sky high,  food is outrageous. And billions of tax dollars going to Ukraine",krice9364,noneya,"I have a wonderful husband Jeff, and my dogs Frank and Annie. 🐶 Absolutely No DMs. I will block you",19,3
2022-10-14,"Leave NO ONE Behind 🧵
3.1 billion people (almost 40% of the World's Population) cannot afford a healthy diet.

2022 finds us with a climate that won’t stop warming, rising prices and international tensions. This is affecting global food security.
#WorldFoodDay2022 #ZeroHunger https://t.co/PKK83TzCpf",smol_sasuke,"Indiana, USA","#Publichealth || $SCRT || #GlobalGoals ||
ens.vision/0x/muzzraj.eth | bit.ly/Muzzraj | Co-founder & Building @moondao_x",48,42
2022-10-14,"@BoxerPupDad @RBReich This is exactly right. Input prices are rising, but corporations are using that situation to raise their prices even more than their increased costs, and they blame it all on “inflation”. - Pablo = eat the rich.
And when they all leave for China &amp; there's no work to be found....?",DownStrong,,"Keeping up with what's going on. 
Loves Juicy gossip...
As a free public service,...I troll the trolls back.",0,0
2022-10-14,"@poemless We use a really good local market ourselves (Harvestime) but Jewel/Mariano's still dominates the market in the area. Whole Paycheck isn't exactly an argument against rising prices, TJs are rare...",refrag,"Chicago, IL","I should probably add something here someday, shouldn't I? He/him",1,0
2022-10-14,"All Promises come out 
before an Election
Pathological liars the Biden Crime Regime.
Nothing said about
Crime, illegals, fetanyl deaths,food and goods shortages 
Inflation rises, gas prices keep rising 
We have invasion at Border nothing said.
Biden biggest Human Trafficker",C_ousteau,Sirius B ,"It is so important to think clearly in these propaganda brain washing times.
Take time out commune with nature, walk on the beach sit in a park..
Think 🤔",0,0
2022-10-14,"With how grocery prices are rising, portion control is about to become real easy. That smaller waist might be showing up sooner than I thought. https://t.co/63u8FTysez",_ItsJust_Bryan,,"⚖️♎

🌴➡️🏙️

🎤🖋️

🧘🏾‍♂️🔮🛼🧗🏾‍♂️
#OnMyOwnBlock",0,0
2022-10-14,"the highest since 1981 due to record inflation, but it's still not keeping pace with rising prices for food (up 11.2%), energy (up 19.8%), and rent (up 12.3%).

- Medicare premiums are only down thanks to the Biden administration denying seniors coverage for a groundbreaking...",ElectMikeGarcia,,"Serving California families in Congress. Navy fighter pilot, businessman, Patriot. Husband to Rebecca & proud dad of two boys. Dog guardian. Not a Taco. #CA27",17,6
2022-10-14,@therecount The cocaine prices must be rising,JoelWeissman,,,0,0
2022-10-14,Australia: ACCC inquiry into rising childcare prices https://t.co/lBae3atc5T,fluidinknee_,Worldwide,"Welcome to Fluid in knee.
A Passion For Better Health
More 👇",0,0
2022-10-14,"@chrismartenson Inflation has already happened, and the Inflation Reduction Act exacerbates it further.  All the currency conjuring, the real inflation, over the past decade has reached the 'asymptote' and is hitting that vertical wall. Rising prices is just a symptom... Got Gold &amp; Silver?",vince_danet,"St Thomas, US Virgin Islands",Professional nomad. Lost faith in government to do right by the people. Recovering republican. Now Libertarian.,3,0
2022-10-14,"Food expenditures are rising far faster than CPI figures might suggest.

The BLS's index shows that food prices (groceries and restaurants combined) are up 21% between Jan 2019 and Aug 2022.

But Census monthly retail trade data shows that food expenses soared 40% in that time.",JaredWalczak,"Washington, D.C.",Vice President of State Projects at the Tax Foundation.,2,0
2022-10-14,"Kroger, Albertsons possible merger leaves consumers worried about rising food prices https://t.co/qxezS0O7T8",Technicalearn5,,News Website,0,0
2022-10-14,I’ve said this before but I genuinely think that Insulate Britain was started by government officials in collaboration with energy companies to make protest against rising prices/climate change socially unacceptable. Tell me I’m fuckin wrong.,KorgTheBronan,"Edinburgh, Scotland",This timeline is intentionally unhinged. Please do not contact me regarding this. (she/her),2,1
2022-10-14,"@Public_Citizen If what you’re saying is true, Kroger must have acquired all of these grocers over the last year or two. Rising grocery prices weren’t a major problem before that.",benssiegel,,Father. Husband. Financial journalist turned MBA. Boston sports fan living in The Land. Double-vaxxed + double-boosted. Wahoowa.,2,0
2022-10-14,"📰 Natural Gas Futures Prices Slide on Late-Month Warm-Up, Rising Storage Stocks 

Powered by https://t.co/PtyRcaVy4r

https://t.co/q92HNpAh07",PiQNews,,Semi-Automated Newsfeed - Focussed on Markets & Geopolitics - Powered by @PiQSuite at PiQSuite.com,0,0
2022-10-14,"Between rising mortgage rates, high inflation, sky-high real estate prices and an uncertain stock market, it’s really hard to buy a house now. https://t.co/gyq4xS4Fnr https://t.co/uxb5mIhq4I",RealtorBill3,Chula Vista,Crafting creative strategies for homeowners and investors looking for maximum equity and cash flow.,0,0
2022-10-14,"#Chad’s bilateral creditors insist that rising oil prices mean debt relief can be put on hold. #IMF #Africa chief @aselassie says that’s the wrong call. Report by @JulianPecquet.

https://t.co/vAFJ3Xoj5G",TheAfricaReport,"Paris, France","The magazine for African politics, business & culture. 
Subscribe: ow.ly/cCBC30eFrlj 
Newsletter: bit.ly/2eU0nsD 
Podcast:apple.co/2r1GR3F",7,6
2022-10-14,@tim70368558 @Perlrulez @tomwarren It’s not even that. PlayStation are cucking themselves by rising the prices of PlayStation when Xbox doesn’t need to lower the price so many are going to go to Xbox for next gen. I know this is about gamepass but that’s a factor to your argument.,MysticVNz,United Kingdom,100 Thieves! Run it up!❤️ 25 Years old!,0,0
2022-10-14,"@SenSanders Food prices are not soaring because of corporate greed!

They are rising because of your policies, because YOUR party's policies have caused gas prices to skyrocket which raises the cost of all goods. 

How come corporate greed didn't cause this under Trump?",wolf1u2,"Idaho, USA","Imperfect Christ follower, proud American. Remember #1776 Believe we are all simply 1 Race, the Human Race! America, love it or leave it! Just sayin! #turn22to0",15,1
2022-10-14,"Between Nigeria and Ghana and I don't really know who's having the worst economic run rn. Local currency depreciation, high cost of living, high food prices, rising unemployment. Its crazy.",tobe_007,"9.0820° N, 8.6753° E",Politics || Football || African culture || MUFC || #EndSARS ||Burnaboy stan.,5,3
2022-10-14,"@POTUS Sure, food &amp; gas prices have been rising at a disproportionate rate. These so called increases will be swallowed up by the crippling inflation that has taken over the country.",HillMumof3,"Conesus Lake, NY",,0,0
2022-10-14,"2020:
""Lock the country down""
""F**k the economy""
""Pay people to stay at home""
""Just print more money""

2022:
""I can't afford to feed my family""
""I can't afford to turn the heating on""
""Why are prices rising?""
""I got made redundant""

What the f**k did they expect to happen??!!",RhysLloyd,UK,,1,0
2022-10-14,Rising gas prices are good though https://t.co/9WpKVkL8A4,J_Zane_Miller,NYC to Chicago,"UChicago ‘26. @thinkcriticalpc, @theubicenter, ex-LSTA. Aspiring math-economist and established Phoebe Bridgers replyguy. Chief Monetarist Teen. He/him. 18 y/o.",4,0
2022-10-14,@richardmarx What else would have garnered this much attention about rising food prices amd oil?,SoniaHerda,Los Angeles,Everything's better with a great glass of Malbec :),0,0
2022-10-14,#Cloud buyers seek to wrangle rising prices without switching providers https://t.co/rJuvvdYq7t https://t.co/rGXks50HcG,move2thecloud,Houston,"CEO of SIS Holdings Group, providing Technology Advisory Services.",0,0
2022-10-14,"Natural Gas Futures Prices Slide on Late-Month Warm-Up, Rising Storage Stocks https://t.co/Qs7Yi9RE0t #NatGas #ONGT",NGInews,,"Welcome to the official Twitter handle of Natural Gas Intelligence. 
NGI is a leading provider of #NaturalGas & #Shale news/market data to the energy industry.",1,1
2022-10-14,"@DylanLeClair_ it’s good to know rising rates and falling asset prices won’t increase debt service expense while simultaneously reducing tax receipts thereby exacerbating deficits leading to a debt spiral

oh, wait a minute …",Nicholai_Hel_7,,Bitcoin is Hope,10,1
2022-10-14,"@JustStop_Oil Imagine protesting for rising food prices, but then waste food on throwing it on stuff as a form of protest. 

Uno Reverse of the day.",Sharkbroz,,"""You have been blessed by the Shark God of Horny"" - Srash 2020,
28 years, He/Him, Gemini, INTJ, NSFW, Age in Bio 🔞 Fan Account",3,0
2022-10-14,"@Sinners4Emily @Third_Nut You can have inflation driven by rising waves, and that can still cause problems

Unfortunately ours is more caused by food and gas prices rising and that's worse",YosarianTwo,The Future,"Transhumanist, futurist, political progressive. He/him",0,0
2022-10-14,"@POTUS Is not going to help, gas prices keep rising = inflation, retirees can afford living on SS checks.",Sdferz,SFV,,0,0
2022-10-14,"@CalltoActivism Average American family has now lost $6,000 in annual wages under Biden due to inflation
Americans are 'absolutely being crushed' by rising consumer prices.  THIS IS WHAT'S IMPORTANT",Camellia227,,,0,0
2022-10-14,"@davidhogg111 Average American family has now lost $6,000 in annual wages under Biden due to inflation
Americans are 'absolutely being crushed' by rising consumer prices.  THIS IS WHAT'S ImPORTANT TO AMERICANS.",Camellia227,,,0,0
2022-10-14,"@JoeBiden Average American family has now lost $6,000 in annual wages under Biden due to inflation
Americans are 'absolutely being crushed' by rising consumer prices.  This is what YOUR INFLATION HAS DONE TO AMERICANS!",Camellia227,,,0,0
2022-10-14,"@NakedBourbon @BlackKnight10k Facing rising prices, Biden is forging ahead with a plan to sell new leases for oil and gas drilling on a small portion of federal land. Climate activists say he is breaking his campaign promise to end the nation’s dependence on fossil fuels, and that it might not lower the cost.",LockNKey17,,US and proud. Researcher. Traveler.,0,0
2022-10-14,"@tribelaw Average American family has now lost $6,000 in annual wages under Biden due to inflation
Americans are 'absolutely being crushed' by rising consumer prices.  THIS IS IMPORTANT!",Camellia227,,,0,0
2022-10-14,"@CalltoActivism Average American family has now lost $6,000 in annual wages under Biden due to inflation
Americans are 'absolutely being crushed' by rising consumer prices",Camellia227,,,1,0
2022-10-14,"@davidhogg111 Average American family has now lost $6,000 in annual wages under Biden due to inflation
Americans are 'absolutely being crushed' by rising consumer prices",Camellia227,,,0,0
2022-10-14,"@ReverendWarnock Average American family has now lost $6,000 in annual wages under Biden due to inflation
Americans are 'absolutely being crushed' by rising consumer prices",Camellia227,,,0,0
2022-10-14,"@OccupyDemocrats Average American family has now lost $6,000 in annual wages under Biden due to inflation
Americans are 'absolutely being crushed' by rising consumer prices",Camellia227,,,0,0
2022-10-14,"$6 for a Gallon of Gas = Big Week Delivering for CA?

That isn't a win, Governor Newsom. Sign the petition to suspend the gas tax &amp; stop rising gas prices at   https://t.co/aJlcrGwawj https://t.co/RS6wL96V2R",AsmRepublicans,"Sacramento, CA",The Official Twitter of the California Assembly Republicans. Assembly Republican Leader: @J_GallagherAD3 / #CADeservesBetter,23,9
2022-10-14,@AshleyKalus @DanMcKeeRI What can a governor do about National issues like gas prices and inflation? Housing prices? Would you be for rent control? Payments to each household to offset rising prices? What would you do???,3_kiko,,Burn it 20 times,7,0
2022-10-14,"Weatherman running in the IL-17th district; Eric, and other democrats are responsible for rising food and fuel prices around the world.  Is ERIC a GLOBALIST?  Does he support America’s destruction?  
https://t.co/uxBOquIPfR",bob_ember,,,0,0
2022-10-14,"Inflation isn’t Biden or Democrats fault. It’s largely due to corporate greed and their rising profits, while they continue to raise prices. Think about it people. Corporate greed is what’s killing this country. We the people must make our voices heard. The 1% doesn’t control us https://t.co/ODxgeG81UZ",bigjsav,"New Mexico, USA","Husband, Father, Writer, #Huskers, #BiPolar, #BlueCrew, I believe in love over hate, peace over violence, and positivity over negativity. #GBR",0,0
2022-10-14,"The latest government report on consumer prices, released Thursday, showed poultry prices are up a whopping 17% from a year ago. Flour is up 24%. Butter and margarine are up 32%.

Rising prices set to gobble up Americans' Thanksgiving budgets https://t.co/1cQJ0GwNlt",DrMAGA2024,"Washington, DC","Once you realize the government is corrupt it all makes sense. #ultramaga

You can't stop the signal",0,0
2022-10-14,"@SenSanders Food prices are rising because the dollar is worth 80 cents on the dollar today as compared to two years ago.
Bidenflation",MrCarlBertolli,Earth,"Unapologetic Trump supporter. Vaccine Free Pure Blood. 
Retired in 2009 @55 years old. Coffee Roaster, Wine maker, Muscle car Collector. Trump 2024 MAGA",3,0
2022-10-14,"Oil price fluctuations are being passed on to consumers more quickly as a result of the crisis in Ukraine and embargoes on Russian energy exports, with gasoline and heating oil prices rising significantly.",cgtnamerica,"Washington, DC","Watch live: america.cgtn.com/livestream/ 
Material is distributed by MediaLinks TV, LLC on behalf of CCTV. Info available at the Department of Justice in DC.",0,0
2022-10-14,The Consumer Price Index has shown low inflation since '09. Are your prices rising faster? #CostOfLiving https://t.co/8DIJWNSN6p,GOODSONFINANCI1,,,0,0
